country,winter,min_winter_full,days,storage_stress,storage_at_start,storage_trend_30d,storage_volatility,vol_x_start
NL,2022.0,58.54,151,0,92.39290322580646,-0.030000000000001137,8.53705060434946,11.877799768152903
NL,2023.0,53.41,152,0,97.70548387096775,3.1099999999999994,2.3398130040417007,-29.69181584748004
NL,2024.0,21.01,151,1,91.28774193548387,-3.519999999999996,3.072877786397848,-7.054529492118406
PL,2014.0,46.62,151,0,98.34290322580645,-4.519999999999996,3.8542485095065793,-16.718052545589966
PL,2015.0,32.15,152,0,96.4558064516129,2.0999999999999943,6.496316683278165,7.671605705656356
PL,2016.0,31.13,151,0,98.53064516129028,0.7400000000000091,8.372631709792044,28.60852002774094
PL,2017.0,35.66,151,0,98.6916129032258,0.37000000000000455,8.809412260873165,33.546906304038075
PL,2018.0,41.38,151,0,97.89290322580645,-1.6400000000000006,5.329169499374052,-2.0006780410293006
PL,2019.0,44.26,152,0,100.09096774193546,-0.6599999999999966,4.8596399737179405,-7.940994903943973
PL,2020.0,38.03,151,0,97.92354838709679,-1.5400000000000063,3.7399408488716355,-17.096186598318965
PL,2021.0,57.23,151,0,96.44709677419357,0.14999999999999147,4.553635887974542,-7.913347842220324
PL,2022.0,54.99,151,0,98.29161290322581,0.45000000000000284,0.5221365523269804,-49.494936720950164
PL,2023.0,43.49,152,0,99.22483870967743,-0.09999999999999432,2.7829009644214397,-29.771389437742073
PL,2024.0,42.88,151,0,97.62451612903227,-0.030000000000001137,2.339769051313216,-29.43306193890368
PT,2014.0,50.38,151,0,83.66548387096776,11.47999999999999,4.848239862341434,3.297916900014809
PT,2015.0,29.27,152,1,41.55000000000001,-10.119999999999997,3.689017888784261,86.79889221590636
PT,2016.0,42.07,151,0,48.049354838709675,7.660000000000004,3.3457251984615333,88.627029485349
PT,2017.0,48.76,151,0,68.69709677419355,19.189999999999998,3.8531293700798286,33.29639465082323
PT,2018.0,67.84,151,0,62.931935483870966,11.879999999999995,3.96812040839622,40.09283047292376
PT,2019.0,71.69,152,0,104.29258064516131,2.480000000000004,9.616759370313728,64.6630126859184
PT,2020.0,44.27,151,0,99.4183870967742,-8.260000000000005,3.4074715749851943,-23.441475069276752
PT,2021.0,68.22,151,0,59.211290322580645,17.520000000000003,6.743728543555378,-35.153516612650016
PT,2022.0,104.82,151,0,108.85612903225807,0.9899999999999949,0.6189607999785725,-100.53441649464713
PT,2023.0,85.88,152,0,100.83290322580646,9.820000000000007,5.185625185480978,-4.402707653399326
PT,2024.0,75.22,151,0,102.7377419354839,0.3100000000000023,2.8484556233514082,-38.52080875744663
RO,2017.0,12.51,151,1,70.02411764705884,1.6400000000000006,0.6833104969880952,89.39722543409782
RO,2018.0,10.93,151,1,69.95741935483869,2.430000000000007,7.475746702774577,-35.745743491383905
RO,2019.0,56.92,152,0,93.12645161290322,6.560000000000002,10.846951624791263,24.926543189039794
RO,2020.0,17.45,151,1,93.85193548387095,1.980000000000004,4.3630215351697,-6.385786249748576
RO,2021.0,18.95,151,1,74.16032258064517,1.980000000000004,8.099008928132967,-36.50550272303129
RO,2022.0,41.72,151,0,91.52064516129033,10.36,10.66195975033918,15.83358977990046
RO,2023.0,50.07,152,0,100.65612903225806,4.930000000000007,7.622321396442272,25.45386990891872
RO,2024.0,25.23,151,1,102.81741935483872,1.1499999999999915,5.701176194435672,2.310869571132629
SK,2014.0,20.34,151,1,92.94225806451614,1.0899999999999892,2.1435571058796845,-15.331643102294098
SK,2015.0,27.09,152,1,76.59612903225809,7.049999999999997,9.319961006948269,-44.720992634254735
SK,2016.0,16.35,151,1,96.48000000000002,-2.510000000000005,5.190187149486195,-2.82093821212509
SK,2017.0,4.51,151,1,88.62870967741938,4.549999999999997,12.05442929872056,1.3009701903343276
SK,2018.0,27.6,151,1,65.25516129032256,5.890000000000008,8.162910031035594,-60.76964582067001
SK,2019.0,76.65,152,0,98.32322580645163,-3.3700000000000045,4.488917834049643,-10.405299760253975
SK,2020.0,41.79,151,0,93.50967741935482,0.9400000000000119,1.7320414517302574,-19.34995798696718
SK,2021.0,17.25,151,1,72.08774193548388,-1.0799999999999983,6.010680391107563,-7.682186591235995
SK,2022.0,58.19,151,0,90.66806451612906,3.0700000000000074,7.212141261306085,3.7427785614240614
SK,2023.0,68.7,152,0,98.00548387096775,1.9699999999999989,1.980405386059527,-34.093909179832174
SK,2024.0,35.3,151,0,95.51612903225806,-0.6899999999999977,2.5617593634462903,-21.11125720387645
